Participant,Gender,Consonant,Following_Vowel,Rating,Stimuli,Curvature_Degree,Curvature_Location,MCI,real_1,imag_1,mod_1,F2_mean,F3_mean,COG,Dispersion,Skewness
P17,F,z,i,Alveolar,ziben,0.367696347,0.315972414,3.466799104,34.38582962,-43.13323287,55.16213426,2023.258049,3195.317708,7532.467586,2316.094712,-1.721627291
P17,F,zh,a,humped,zhadui,0.183328008,0.360695621,2.074565789,28.0577637,-13.3513604,31.07244645,2202.460048,2894.794817,3877.350856,2669.701604,0.423670772
P17,F,ch,a,humped,chaqu,0.216333065,0.290129666,2.231614405,34.89819875,-22.52129419,41.53423851,2290.087435,2946.492324,4042.505402,2433.104811,0.57844114
P17,F,s,a,Alveolar,sahuang,0.264129975,0.473736862,2.168583144,30.49778976,-57.1953067,64.81834839,2151.7629,3309.366558,7323.377605,2134.825118,-1.910429583
P17,F,c,a,Alveolar,cayao,0.212378596,0.439440668,2.500789987,35.70668043,-50.9241785,62.19516848,2195.004796,3209.385924,6546.2812,2959.103413,-0.964973136
P17,F,sh,a,humped,shafa,0.207942053,0.36759196,2.641687003,34.91584422,-16.84239623,38.76573859,2501.138659,3363.04282,4650.709927,2352.949374,0.327767183
P17,F,zh,u,unclear,zhurou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P17,F,zh,i,humped,zhidao,0.21133319,0.418355633,2.26155029,32.53413835,-17.78786627,37.079352,2431.528479,3205.234986,4767.668178,2312.421756,0.310814579
P17,F,z,u,Alveolar,zufang,0.2976606,0.390005909,2.663528984,33.47157687,-50.80754232,60.84203165,2262.490754,3584.904224,6178.581838,2627.129701,-0.700399068
P17,F,c,u,Alveolar,cuxin,0.269337496,0.431696778,2.161201147,39.61471785,-41.87674574,57.64536151,2173.719287,3510.919449,6025.253928,2338.24253,-0.464928226
P17,F,s,u,Alveolar,suxing,0.298331846,0.386784927,3.418141634,31.12617592,-45.98537219,55.52921108,2216.017916,3463.563187,6195.000604,2312.251067,-0.589540893
P18,F,sh,u,humped,shuben,0.269804797,0.464328277,1.791704223,27.03342097,-56.86117366,62.96029638,2153.17091,3001.881698,4331.703243,2449.956642,0.135175498
P18,F,ch,u,humped,churu,0.269910097,0.354130084,1.840885179,32.96334111,-49.16985401,59.19676005,2139.515821,3148.90037,4539.97785,2418.997709,-0.003004291
P18,F,z,a,Alveolar,zadao,0.313302543,0.444004961,2.559236573,16.47806536,-63.68854654,65.78569448,2033.074725,3134.052251,4984.505284,3208.547733,-0.076200735
P18,F,s,i,Alveolar,siji,0.307861125,0.419304491,1.856538652,33.06279989,-46.49042408,57.04829768,1921.444273,3126.261127,6961.860443,3029.243207,-1.045639392
P18,F,ch,i,humped,chifan,0.256690988,0.435484611,1.848710626,29.65273739,-54.24831271,61.82365459,2430.963928,3045.274321,4477.150572,2253.057857,0.372363435
P18,F,c,i,Alveolar,ciya,0.28207962,0.43019723,2.450140811,23.91910087,-59.00909292,63.67257207,2172.998718,3279.5625,5763.651119,3178.360218,-0.329809628
P18,F,sh,i,humped,shibai,0.290870045,0.400047198,1.863925098,28.6058271,-53.58592027,60.74326461,2581.720786,3633.281077,5090.868655,2135.112284,0.057363181
P18,F,z,i,Alveolar,ziben,0.339778095,0.480817259,2.105987266,17.02251521,-62.35619116,64.63791921,2074.62721,3251.233991,5925.791678,3234.679329,-0.45210014
P18,F,zh,a,humped,zhadui,0.263031889,0.347690955,1.799470072,35.22361001,-43.60507972,56.05448849,2482.491494,3259.623858,4366.461162,1961.906416,0.754665346
P18,F,ch,a,humped,chaqu,0.262810396,0.337660281,2.057070839,36.21609133,-43.01172548,56.22822957,2165.960756,2979.642204,2650.146999,1849.027259,1.324247776
P18,F,s,a,Alveolar,sahuang,0.281555341,0.443721496,2.289925582,26.41798715,-58.32119329,64.02555452,1941.116179,3035.563868,5745.041718,3169.401038,-0.465742382
P18,F,c,a,Alveolar,cayao,0.313681991,0.41036929,1.833410404,21.10114238,-60.35939204,63.94149214,2082.255585,3273.139259,4374.844873,3161.541771,0.094617846
P18,F,sh,a,humped,shafa,0.261153351,0.538067931,2.033729824,36.58815567,-41.60249975,55.40271763,2515.626974,3052.577692,5052.000711,2242.51894,0.086862582
P18,F,zh,u,humped,zhurou,0.27092373,0.408006736,2.331207001,30.77532422,-53.70226684,61.89550908,2441.023291,3339.714736,5045.550977,2126.845785,-0.625492979
P18,F,zh,i,humped,zhidao,0.285605456,0.44518214,1.876623868,34.57988355,-46.9820132,58.33590585,2467.616921,3614.263291,4955.755021,1774.603943,-0.059960736
P18,F,z,u,Alveolar,zufang,0.365963827,0.471466638,2.175867814,11.372328,-62.43937421,63.46656834,2392.189213,3340.919478,5550.148171,3082.477173,-0.300834268
P18,F,c,u,Alveolar,cuxin,0.337386942,0.444533535,1.961018511,22.01816071,-58.3157257,62.33396558,1900.770498,3141.525088,4315.468859,2694.843747,-0.009125839
P18,F,s,u,Alveolar,suxing,0.247044315,0.3089662,2.683566014,31.33502959,-55.00139706,63.30116711,1996.834406,3396.913036,5362.264682,2562.159638,-0.269259497
P19,M,sh,u,humped,shuben,0.284848967,0.482770738,2.127613664,12.43069555,-64.54082663,65.72701495,2348.267139,3505.671623,3775.298152,2529.99043,0.403303016
